["port 3","RIGHT"]
["port 5","RIGHT"]
["port 1","LEFT"]
["port 4","RIGHT"]
["port 2","LEFT"]
["port 6","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(40, 3)
1.9156067603833869e+14 1.2154880386864552e-02 -1.8331060247366695e+00
1.9167058790163934e+14 2.2299751595968118e-03 7.9295233523840847e-01
1.9178062596571806e+14 3.7407845230722778e-03 2.7828835800588014e+00
1.9189079044805516e+14 1.0615538949336279e-02 1.2495666071599065e+00
1.9200108156663109e+14 3.1712290859301747e-03 4.0852884840891264e+00
1.9211149953992772e+14 7.0115824188416581e-03 1.7958368742579245e+00
1.9222204458692975e+14 1.7982198955287254e-03 3.1000277773709284e+00
1.9233271692712619e+14 2.5663859722502460e-03 2.7873919932567452e+00
1.9244351678051191e+14 1.0700927035302832e-03 2.9268213523690689e-01
1.9255444436758897e+14 7.0347804350716385e-03 1.7657820287111283e+00
1.9266549990936806e+14 1.3913274124602970e-03 3.6282075418983522e+00
1.9277668362737016e+14 4.6534177135407317e-03 1.3122266009532191e+00
1.9288799574362784e+14 1.9279596995080556e-03 3.4764706213293222e+00
1.9299943648068672e+14 2.8295289718672308e-03 6.8916892434944843e-01
1.9311100606160706e+14 1.9785673336071004e-03 -1.4935368189735638e+00
1.9322270470996531e+14 1.6425608213249379e-03 1.2362948016915034e+00
1.9333453264985531e+14 1.6203696751821946e-03 1.8417708472901979e+00
1.9344649010589016e+14 1.4371738321210885e-03 4.4074664768065730e-01
1.9355857730320341e+14 3.1001315083758951e-03 -2.5953974570303799e+00
1.9367079446745075e+14 4.0965634502545195e-03 -5.1394404241109873e-02
1.9378314182481147e+14 3.4654037586789727e-03 -2.3096077991723556e+00
1.9389561960199006e+14 9.1188621596078104e-04 -1.3421246891147613e+00
1.9400822802621756e+14 6.6575507274055515e-03 -2.3428201992767677e+00
1.9412096732525322e+14 6.6028984084475391e-03 -5.1268676157891830e+00
1.9423383772738600e+14 9.5103955547584610e-03 -7.8921466165984633e+00
1.9434683946143619e+14 3.4603035835551249e-03 -1.0532950102060740e+01
1.9445997275675678e+14 1.0532039291039595e-02 -8.1990371108875166e+00
1.9457323784323516e+14 1.4461690747263960e-02 -1.0443927360095037e+01
1.9468663495129466e+14 1.3216458499027802e-02 -7.5963592014321222e+00
1.9480016431189603e+14 1.5655480888002997e-02 -1.0248729878851378e+01
1.9491382615653912e+14 3.0417329479164625e-03 -9.0681833690171558e+00
1.9502762071726441e+14 1.2861710661931654e-02 -1.1522929310522347e+01
1.9514154822665444e+14 5.7709764894485613e-03 -1.2065089782055944e+01
1.9525560891783569e+14 1.7271437528524499e-02 -9.2254428204069772e+00
1.9536980302447991e+14 1.0993264638140201e-02 -7.4354595378429789e+00
1.9548413078080591e+14 8.2766590287265147e-03 -6.2298051714054585e+00
1.9559859242158094e+14 1.8923469256027638e-02 -6.0479298308754288e+00
1.9571318818212253e+14 1.8804328486099822e-02 -8.1208944257627316e+00
1.9582791829830000e+14 2.6655391164476423e-02 -5.0141596156256796e+00
1.9594278300653594e+14 7.1261368326268450e-03 -2.6509909115745098e+00
("port 1","mode 1",1,"port 2",1,"transmission")
(40, 3)
1.9156067603833869e+14 7.6644573642706080e-03 1.1985795087444688e+00
1.9167058790163934e+14 3.5217790337064452e-03 6.2388321435160121e-01
1.9178062596571806e+14 3.6504917979443877e-03 2.8675857408656209e+00
